danceability (bin);key;track_id (song_features.csv);acousticness;danceability;duration_ms;energy;instrumentalness;liveness;loudness;mode;speechiness;tempo;valence
0.60;4;54l9GJGQ1UCFKe2tzt1Vxt;0,0829;0,607;189401;0,74;0;0,105;-4,793;0;0,172;108,05;0,219
0.51;10;4hUR3thIs01mQUtVmZFJ8F;0,0224;0,517;177800;0,955;0;0,364;-1,848;0;0,167;132,951;0,61
0.66;10;4kAIdBQEmb1M9ryd9tNSCD;0,0482;0,686;160400;0,618;0;0,123;-5,236;0;0,22;95,873;0,284
0.33;2;18xmRkPWE0sGUzFyNNAAhN;0,876;0,346;229053;0,35;1,98e-06;0,0708;-4,988;1;0,0328;126,444;0,315
0.51;6;18ULKfQl3KpCnklAKFfO2t;0,0133;0,52;166733;0,878;0;0,0433;-1,768;0;0,0616;168,033;0,783
0.63;2;1zl1smQ584EZKCfLVeYWNq;0,139;0,651;183829;0,655;1,45e-06;0,104;-6,652;1;0,373;78,665;0,393
0.60;11;04ZTP5KsCypmtCmQg5tH9R;0,00281;0,63;195519;0,694;0;0,0719;-6,257;0;0,0253;97,005;0,216
0.84;8;61TklWcG8PbT5hvUTzwLaY;0,0066;0,858;210545;0,65;2,07e-06;0,121;-4,919;1;0,241;147,031;0,653
0.57;9;6aH3QgooXRmx8k8jzrSm3V;0,416;0,583;316378;0,381;0,000226;0,0958;-10,033;0;0,0429;127,667;0,153
0.66;5;4ofwffwvvnbSkrMSCKQDaC;0,286;0,672;201287;0,735;0;0,242;-4,733;1;0,0457;115,741;0,754
0.84;2;2SpfMQ5TuKsMj1trNwrLVA;0,0248;0,87;176816;0,691;0;0,0861;-4,11;0;0,18;130,056;0,469
0.84;5;78Q2gghkt8iLJ7J0Uc4QYb;0,214;0,869;184607;0,622;0;0,0527;-5,841;1;0,23;140,039;0,887
